<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20180621,000100,6749.4800000
BTC-USD,1,20180621,000200,6749.4800000
BTC-USD,1,20180621,000300,6749.4800000
BTC-USD,1,20180621,000400,6749.4900000
BTC-USD,1,20180621,000500,6749.4900000
BTC-USD,1,20180621,000600,6749.4900000
BTC-USD,1,20180621,000700,6749.4900000
BTC-USD,1,20180621,000800,6748.9900000
BTC-USD,1,20180621,000900,6749.0000000
BTC-USD,1,20180621,001000,6749.0000000
BTC-USD,1,20180621,001100,6749.0000000
BTC-USD,1,20180621,001200,6748.9900000
BTC-USD,1,20180621,001300,6749.0000000
BTC-USD,1,20180621,001400,6746.0000000
BTC-USD,1,20180621,001500,6746.0100000
BTC-USD,1,20180621,001600,6746.0100000
BTC-USD,1,20180621,001700,6746.0000000
BTC-USD,1,20180621,001800,6746.0000000
BTC-USD,1,20180621,001900,6746.0100000
BTC-USD,1,20180621,002000,6746.0100000
BTC-USD,1,20180621,002100,6746.0100000
BTC-USD,1,20180621,002200,6745.0100000
BTC-USD,1,20180621,002300,6744.0100000
BTC-USD,1,20180621,002400,6744.0000000
BTC-USD,1,20180621,002500,6744.0100000
BTC-USD,1,20180621,002600,6744.0000000
BTC-USD,1,20180621,002700,6744.0100000
BTC-USD,1,20180621,002800,6742.9900000
BTC-USD,1,20180621,002900,6743.0000000
BTC-USD,1,20180621,003000,6742.9900000
BTC-USD,1,20180621,003100,6742.9900000
BTC-USD,1,20180621,003200,6742.9900000
BTC-USD,1,20180621,003300,6742.9900000
BTC-USD,1,20180621,003400,6742.9900000
BTC-USD,1,20180621,003500,6740.0000000
BTC-USD,1,20180621,003600,6740.0100000
BTC-USD,1,20180621,003700,6740.0000000
BTC-USD,1,20180621,003800,6740.0000000
BTC-USD,1,20180621,003900,6739.9500000
BTC-USD,1,20180621,004000,6739.9600000
BTC-USD,1,20180621,004100,6733.7500000
BTC-USD,1,20180621,004200,6733.0700000
BTC-USD,1,20180621,004300,6730.6200000
BTC-USD,1,20180621,004400,6730.6100000
BTC-USD,1,20180621,004500,6730.4800000
BTC-USD,1,20180621,004600,6730.6200000
BTC-USD,1,20180621,004700,6730.6100000
BTC-USD,1,20180621,004800,6730.6200000
BTC-USD,1,20180621,004900,6730.6200000
BTC-USD,1,20180621,005000,6730.4900000
BTC-USD,1,20180621,005100,6730.0000000
BTC-USD,1,20180621,005200,6730.0000000
BTC-USD,1,20180621,005300,6720.3300000
BTC-USD,1,20180621,005400,6719.7700000
BTC-USD,1,20180621,005500,6719.5300000
BTC-USD,1,20180621,005600,6719.5300000
BTC-USD,1,20180621,005700,6719.5400000
BTC-USD,1,20180621,005800,6719.5300000
BTC-USD,1,20180621,005900,6718.3100000
BTC-USD,1,20180621,010000,6718.3200000
BTC-USD,1,20180621,010100,6718.9900000
BTC-USD,1,20180621,010200,6730.0000000
BTC-USD,1,20180621,010300,6730.4800000
BTC-USD,1,20180621,010400,6730.4800000
BTC-USD,1,20180621,010500,6730.4900000
BTC-USD,1,20180621,010600,6730.4800000
BTC-USD,1,20180621,010700,6730.0000000
BTC-USD,1,20180621,010800,6720.0000000
BTC-USD,1,20180621,010900,6720.0200000
BTC-USD,1,20180621,011000,6720.0000000
BTC-USD,1,20180621,011100,6720.0100000
BTC-USD,1,20180621,011200,6720.0100000
BTC-USD,1,20180621,011300,6720.0000000
BTC-USD,1,20180621,011400,6720.0100000
BTC-USD,1,20180621,011500,6720.0100000
BTC-USD,1,20180621,011600,6720.0000000
BTC-USD,1,20180621,011700,6720.9900000
BTC-USD,1,20180621,011800,6720.9900000
BTC-USD,1,20180621,011900,6721.0000000
BTC-USD,1,20180621,012000,6721.0000000
BTC-USD,1,20180621,012100,6721.0000000
BTC-USD,1,20180621,012200,6720.9900000
BTC-USD,1,20180621,012300,6719.9900000
BTC-USD,1,20180621,012400,6719.5000000
BTC-USD,1,20180621,012500,6719.5100000
BTC-USD,1,20180621,012600,6719.5000000
BTC-USD,1,20180621,012700,6715.2000000
BTC-USD,1,20180621,012800,6712.4500000
BTC-USD,1,20180621,012900,6712.0000000
BTC-USD,1,20180621,013000,6712.0100000
BTC-USD,1,20180621,013100,6718.2600000
BTC-USD,1,20180621,013200,6718.2500000
BTC-USD,1,20180621,013300,6721.0300000
BTC-USD,1,20180621,013400,6718.5200000
BTC-USD,1,20180621,013500,6710.4600000
BTC-USD,1,20180621,013600,6711.5500000
BTC-USD,1,20180621,013700,6718.2100000
BTC-USD,1,20180621,013800,6716.6000000
BTC-USD,1,20180621,013900,6716.6000000
BTC-USD,1,20180621,014000,6716.6000000
BTC-USD,1,20180621,014100,6716.5900000
BTC-USD,1,20180621,014200,6716.5900000
BTC-USD,1,20180621,014300,6716.6000000
BTC-USD,1,20180621,014400,6718.2400000
BTC-USD,1,20180621,014500,6718.2400000
BTC-USD,1,20180621,014600,6718.2400000
BTC-USD,1,20180621,014700,6718.4000000
BTC-USD,1,20180621,014800,6722.9800000
BTC-USD,1,20180621,014900,6729.9900000
BTC-USD,1,20180621,015000,6729.5000000
BTC-USD,1,20180621,015100,6729.5000000
BTC-USD,1,20180621,015200,6726.6500000
BTC-USD,1,20180621,015300,6726.6500000
BTC-USD,1,20180621,015400,6726.6500000
BTC-USD,1,20180621,015500,6730.0000000
BTC-USD,1,20180621,015600,6733.5300000
BTC-USD,1,20180621,015700,6733.5400000
BTC-USD,1,20180621,015800,6737.6800000
BTC-USD,1,20180621,015900,6737.6700000
BTC-USD,1,20180621,020000,6737.6800000
BTC-USD,1,20180621,020100,6737.6800000
BTC-USD,1,20180621,020200,6735.7500000
BTC-USD,1,20180621,020300,6737.6800000
BTC-USD,1,20180621,020400,6737.6800000
BTC-USD,1,20180621,020500,6740.9100000
BTC-USD,1,20180621,020600,6746.0200000
BTC-USD,1,20180621,020700,6746.0200000
BTC-USD,1,20180621,020800,6749.9900000
BTC-USD,1,20180621,020900,6746.7200000
BTC-USD,1,20180621,021000,6746.7200000
BTC-USD,1,20180621,021100,6749.9900000
BTC-USD,1,20180621,021200,6750.0000000
BTC-USD,1,20180621,021300,6750.0000000
BTC-USD,1,20180621,021400,6750.0000000
BTC-USD,1,20180621,021500,6750.0000000
BTC-USD,1,20180621,021600,6752.3500000
BTC-USD,1,20180621,021700,6752.3600000
BTC-USD,1,20180621,021800,6755.2300000
BTC-USD,1,20180621,021900,6752.9400000
BTC-USD,1,20180621,022000,6752.9500000
BTC-USD,1,20180621,022100,6752.9500000
BTC-USD,1,20180621,022200,6752.9500000
BTC-USD,1,20180621,022300,6752.9100000
BTC-USD,1,20180621,022400,6752.0000000
BTC-USD,1,20180621,022500,6751.9900000
BTC-USD,1,20180621,022600,6751.0100000
BTC-USD,1,20180621,022700,6750.1500000
BTC-USD,1,20180621,022800,6746.7800000
BTC-USD,1,20180621,022900,6746.7900000
BTC-USD,1,20180621,023000,6751.0100000
BTC-USD,1,20180621,023100,6751.9900000
BTC-USD,1,20180621,023200,6752.0000000
BTC-USD,1,20180621,023300,6751.9900000
BTC-USD,1,20180621,023400,6751.9900000
BTC-USD,1,20180621,023500,6752.0000000
BTC-USD,1,20180621,023600,6752.0000000
BTC-USD,1,20180621,023700,6753.6100000
BTC-USD,1,20180621,023800,6752.1000000
BTC-USD,1,20180621,023900,6752.0900000
BTC-USD,1,20180621,024000,6752.1000000
BTC-USD,1,20180621,024100,6752.1900000
BTC-USD,1,20180621,024200,6752.1900000
BTC-USD,1,20180621,024300,6752.2000000
BTC-USD,1,20180621,024400,6752.2000000
BTC-USD,1,20180621,024500,6755.0000000
BTC-USD,1,20180621,024600,6754.9900000
BTC-USD,1,20180621,024700,6756.0000000
BTC-USD,1,20180621,024800,6756.0000000
BTC-USD,1,20180621,024900,6755.9900000
BTC-USD,1,20180621,025000,6755.9900000
BTC-USD,1,20180621,025100,6755.9900000
BTC-USD,1,20180621,025200,6755.9600000
BTC-USD,1,20180621,025300,6755.9500000
BTC-USD,1,20180621,025400,6756.0000000
BTC-USD,1,20180621,025500,6756.0000000
BTC-USD,1,20180621,025600,6755.9900000
BTC-USD,1,20180621,025700,6756.0000000
BTC-USD,1,20180621,025800,6755.9900000
BTC-USD,1,20180621,025900,6755.9900000
BTC-USD,1,20180621,030000,6756.1000000
BTC-USD,1,20180621,030100,6760.0000000
BTC-USD,1,20180621,030200,6759.9900000
BTC-USD,1,20180621,030300,6759.9900000
BTC-USD,1,20180621,030400,6760.0000000
BTC-USD,1,20180621,030500,6752.1900000
BTC-USD,1,20180621,030600,6752.1900000
BTC-USD,1,20180621,030700,6752.2000000
BTC-USD,1,20180621,030800,6752.2000000
BTC-USD,1,20180621,030900,6752.2000000
BTC-USD,1,20180621,031000,6752.2000000
BTC-USD,1,20180621,031100,6752.1900000
BTC-USD,1,20180621,031200,6752.1900000
BTC-USD,1,20180621,031300,6752.1600000
BTC-USD,1,20180621,031400,6752.1600000
BTC-USD,1,20180621,031500,6752.1600000
BTC-USD,1,20180621,031600,6752.1600000
BTC-USD,1,20180621,031700,6752.1600000
BTC-USD,1,20180621,031800,6752.1600000
BTC-USD,1,20180621,031900,6751.5500000
BTC-USD,1,20180621,032000,6751.5600000
BTC-USD,1,20180621,032100,6752.2000000
BTC-USD,1,20180621,032200,6752.1900000
BTC-USD,1,20180621,032300,6752.3000000
