<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20181120,000100,4887.2600000
BTC-USD,1,20181120,000200,4894.9700000
BTC-USD,1,20181120,000300,4901.5600000
BTC-USD,1,20181120,000400,4912.5400000
BTC-USD,1,20181120,000500,4912.5400000
BTC-USD,1,20181120,000600,4900.5000000
BTC-USD,1,20181120,000700,4890.0000000
BTC-USD,1,20181120,000800,4893.6400000
BTC-USD,1,20181120,000900,4894.9900000
BTC-USD,1,20181120,001000,4892.2100000
BTC-USD,1,20181120,001100,4898.3200000
BTC-USD,1,20181120,001200,4877.9700000
BTC-USD,1,20181120,001300,4853.2300000
BTC-USD,1,20181120,001400,4857.3800000
BTC-USD,1,20181120,001500,4844.9200000
BTC-USD,1,20181120,001600,4834.3900000
BTC-USD,1,20181120,001700,4839.9900000
BTC-USD,1,20181120,001800,4842.4700000
BTC-USD,1,20181120,001900,4880.0600000
BTC-USD,1,20181120,002000,4856.8400000
BTC-USD,1,20181120,002100,4850.9500000
BTC-USD,1,20181120,002200,4842.4400000
BTC-USD,1,20181120,002300,4848.0000000
BTC-USD,1,20181120,002400,4838.2600000
BTC-USD,1,20181120,002500,4836.0000000
BTC-USD,1,20181120,002600,4842.0100000
BTC-USD,1,20181120,002700,4853.6500000
BTC-USD,1,20181120,002800,4850.1300000
BTC-USD,1,20181120,002900,4845.7400000
BTC-USD,1,20181120,003000,4844.0000000
BTC-USD,1,20181120,003100,4855.0000000
BTC-USD,1,20181120,003200,4850.0000000
BTC-USD,1,20181120,003300,4849.9900000
BTC-USD,1,20181120,003400,4845.0100000
BTC-USD,1,20181120,003500,4835.5100000
BTC-USD,1,20181120,003600,4825.0000000
BTC-USD,1,20181120,003700,4803.0100000
BTC-USD,1,20181120,003800,4801.9300000
BTC-USD,1,20181120,003900,4801.6300000
BTC-USD,1,20181120,004000,4812.7100000
BTC-USD,1,20181120,004100,4794.0000000
BTC-USD,1,20181120,004200,4803.4600000
BTC-USD,1,20181120,004300,4803.9800000
BTC-USD,1,20181120,004400,4803.9800000
BTC-USD,1,20181120,004500,4794.0100000
BTC-USD,1,20181120,004600,4786.0000000
BTC-USD,1,20181120,004700,4746.2200000
BTC-USD,1,20181120,004800,4739.9900000
BTC-USD,1,20181120,004900,4731.3400000
BTC-USD,1,20181120,005000,4714.3400000
BTC-USD,1,20181120,005100,4681.0300000
BTC-USD,1,20181120,005200,4750.0100000
BTC-USD,1,20181120,005300,4760.0100000
BTC-USD,1,20181120,005400,4758.1600000
BTC-USD,1,20181120,005500,4736.3000000
BTC-USD,1,20181120,005600,4733.3300000
BTC-USD,1,20181120,005700,4735.6000000
BTC-USD,1,20181120,005800,4752.0000000
BTC-USD,1,20181120,005900,4780.0000000
BTC-USD,1,20181120,010000,4783.9900000
BTC-USD,1,20181120,010100,4757.0000000
BTC-USD,1,20181120,010200,4736.1900000
BTC-USD,1,20181120,010300,4739.2500000
BTC-USD,1,20181120,010400,4759.9800000
BTC-USD,1,20181120,010500,4763.0000000
BTC-USD,1,20181120,010600,4777.1600000
BTC-USD,1,20181120,010700,4780.0000000
BTC-USD,1,20181120,010800,4789.0000000
BTC-USD,1,20181120,010900,4802.9900000
BTC-USD,1,20181120,011000,4814.8800000
BTC-USD,1,20181120,011100,4797.0100000
BTC-USD,1,20181120,011200,4801.0400000
BTC-USD,1,20181120,011300,4801.9100000
BTC-USD,1,20181120,011400,4803.7500000
BTC-USD,1,20181120,011500,4796.6400000
BTC-USD,1,20181120,011600,4805.0000000
BTC-USD,1,20181120,011700,4805.6700000
BTC-USD,1,20181120,011800,4810.9000000
BTC-USD,1,20181120,011900,4823.2700000
BTC-USD,1,20181120,012000,4837.0500000
