<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20180720,000100,7414.9900000
BTC-USD,1,20180720,000200,7424.9800000
BTC-USD,1,20180720,000300,7427.9900000
BTC-USD,1,20180720,000400,7428.0000000
BTC-USD,1,20180720,000500,7428.0000000
BTC-USD,1,20180720,000600,7427.9900000
BTC-USD,1,20180720,000700,7435.0300000
BTC-USD,1,20180720,000800,7439.0000000
BTC-USD,1,20180720,000900,7439.0900000
BTC-USD,1,20180720,001000,7435.9900000
BTC-USD,1,20180720,001100,7435.2100000
BTC-USD,1,20180720,001200,7437.4800000
BTC-USD,1,20180720,001300,7439.9200000
BTC-USD,1,20180720,001400,7439.9100000
BTC-USD,1,20180720,001500,7436.3100000
BTC-USD,1,20180720,001600,7436.3100000
BTC-USD,1,20180720,001700,7439.9900000
BTC-USD,1,20180720,001800,7440.2000000
BTC-USD,1,20180720,001900,7441.8500000
BTC-USD,1,20180720,002000,7448.9100000
BTC-USD,1,20180720,002100,7446.1700000
BTC-USD,1,20180720,002200,7446.1800000
BTC-USD,1,20180720,002300,7435.7600000
BTC-USD,1,20180720,002400,7445.5700000
BTC-USD,1,20180720,002500,7441.0100000
BTC-USD,1,20180720,002600,7444.4200000
BTC-USD,1,20180720,002700,7439.0200000
BTC-USD,1,20180720,002800,7443.9900000
BTC-USD,1,20180720,002900,7440.5100000
BTC-USD,1,20180720,003000,7440.2000000
BTC-USD,1,20180720,003100,7440.2000000
BTC-USD,1,20180720,003200,7444.4400000
BTC-USD,1,20180720,003300,7446.1800000
BTC-USD,1,20180720,003400,7445.4500000
BTC-USD,1,20180720,003500,7444.6800000
BTC-USD,1,20180720,003600,7449.7400000
BTC-USD,1,20180720,003700,7451.1000000
BTC-USD,1,20180720,003800,7455.9100000
BTC-USD,1,20180720,003900,7452.1500000
BTC-USD,1,20180720,004000,7444.7600000
BTC-USD,1,20180720,004100,7445.1700000
BTC-USD,1,20180720,004200,7445.1700000
BTC-USD,1,20180720,004300,7445.1600000
BTC-USD,1,20180720,004400,7444.2900000
BTC-USD,1,20180720,004500,7439.3100000
BTC-USD,1,20180720,004600,7439.0100000
BTC-USD,1,20180720,004700,7439.0100000
BTC-USD,1,20180720,004800,7439.0100000
BTC-USD,1,20180720,004900,7438.4500000
BTC-USD,1,20180720,005000,7437.0900000
BTC-USD,1,20180720,005100,7434.9000000
BTC-USD,1,20180720,005200,7432.0600000
BTC-USD,1,20180720,005300,7434.3000000
BTC-USD,1,20180720,005400,7438.0300000
BTC-USD,1,20180720,005500,7438.0300000
BTC-USD,1,20180720,005600,7434.8700000
BTC-USD,1,20180720,005700,7434.8700000
BTC-USD,1,20180720,005800,7434.0100000
BTC-USD,1,20180720,005900,7434.0100000
BTC-USD,1,20180720,010000,7434.0000000
BTC-USD,1,20180720,010100,7434.0100000
BTC-USD,1,20180720,010200,7434.0100000
BTC-USD,1,20180720,010300,7434.0100000
BTC-USD,1,20180720,010400,7445.0200000
BTC-USD,1,20180720,010500,7450.0000000
BTC-USD,1,20180720,010600,7471.2400000
BTC-USD,1,20180720,010700,7463.6500000
BTC-USD,1,20180720,010800,7452.8400000
BTC-USD,1,20180720,010900,7453.3400000
BTC-USD,1,20180720,011000,7455.0000000
BTC-USD,1,20180720,011100,7459.3200000
BTC-USD,1,20180720,011200,7460.5100000
BTC-USD,1,20180720,011300,7456.5900000
BTC-USD,1,20180720,011400,7450.0100000
BTC-USD,1,20180720,011500,7460.5900000
BTC-USD,1,20180720,011600,7460.6000000
BTC-USD,1,20180720,011700,7469.0100000
BTC-USD,1,20180720,011800,7464.6900000
BTC-USD,1,20180720,011900,7464.5000000
BTC-USD,1,20180720,012000,7464.5100000
BTC-USD,1,20180720,012100,7464.7000000
BTC-USD,1,20180720,012200,7464.7000000
