<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20181020,000100,6381.6000000
BTC-USD,1,20181020,000200,6381.6300000
BTC-USD,1,20181020,000300,6381.8600000
BTC-USD,1,20181020,000400,6384.3600000
BTC-USD,1,20181020,000500,6384.4900000
BTC-USD,1,20181020,000600,6384.0500000
BTC-USD,1,20181020,000700,6384.0600000
BTC-USD,1,20181020,000800,6384.0000000
BTC-USD,1,20181020,000900,6383.8300000
BTC-USD,1,20181020,001000,6383.8300000
BTC-USD,1,20181020,001100,6383.8400000
BTC-USD,1,20181020,001200,6383.8400000
BTC-USD,1,20181020,001300,6383.8400000
BTC-USD,1,20181020,001400,6384.7900000
BTC-USD,1,20181020,001500,6384.7800000
BTC-USD,1,20181020,001600,6384.9900000
BTC-USD,1,20181020,001700,6384.9900000
BTC-USD,1,20181020,001800,6385.0000000
BTC-USD,1,20181020,001900,6384.9900000
BTC-USD,1,20181020,002000,6385.0000000
BTC-USD,1,20181020,002100,6385.0000000
BTC-USD,1,20181020,002200,6384.9900000
BTC-USD,1,20181020,002300,6385.0000000
BTC-USD,1,20181020,002400,6384.9900000
BTC-USD,1,20181020,002500,6385.0000000
BTC-USD,1,20181020,002600,6385.0000000
BTC-USD,1,20181020,002700,6385.0000000
BTC-USD,1,20181020,002800,6385.0000000
BTC-USD,1,20181020,002900,6384.9900000
BTC-USD,1,20181020,003000,6385.0000000
BTC-USD,1,20181020,003100,6385.0000000
BTC-USD,1,20181020,003200,6385.0000000
BTC-USD,1,20181020,003300,6386.3700000
BTC-USD,1,20181020,003400,6386.4400000
BTC-USD,1,20181020,003500,6386.1200000
BTC-USD,1,20181020,003600,6383.9600000
BTC-USD,1,20181020,003700,6383.9500000
BTC-USD,1,20181020,003800,6383.7900000
BTC-USD,1,20181020,003900,6383.7800000
BTC-USD,1,20181020,004000,6381.0100000
BTC-USD,1,20181020,004100,6380.5900000
BTC-USD,1,20181020,004200,6380.5900000
BTC-USD,1,20181020,004300,6380.5900000
BTC-USD,1,20181020,004400,6380.5900000
BTC-USD,1,20181020,004500,6380.5800000
BTC-USD,1,20181020,004600,6380.5900000
BTC-USD,1,20181020,004700,6383.9800000
BTC-USD,1,20181020,004800,6383.9000000
BTC-USD,1,20181020,004900,6383.9100000
BTC-USD,1,20181020,005000,6383.8500000
BTC-USD,1,20181020,005100,6383.8500000
BTC-USD,1,20181020,005200,6380.7100000
BTC-USD,1,20181020,005300,6380.8700000
BTC-USD,1,20181020,005400,6381.1700000
BTC-USD,1,20181020,005500,6381.1700000
BTC-USD,1,20181020,005600,6381.1600000
BTC-USD,1,20181020,005700,6380.5500000
BTC-USD,1,20181020,005800,6380.5400000
BTC-USD,1,20181020,005900,6382.1000000
BTC-USD,1,20181020,010000,6383.0000000
BTC-USD,1,20181020,010100,6380.9700000
BTC-USD,1,20181020,010200,6380.9800000
BTC-USD,1,20181020,010300,6380.0000000
BTC-USD,1,20181020,010400,6380.1700000
BTC-USD,1,20181020,010500,6380.1600000
BTC-USD,1,20181020,010600,6380.9800000
BTC-USD,1,20181020,010700,6380.9800000
BTC-USD,1,20181020,010800,6380.9800000
BTC-USD,1,20181020,010900,6380.9700000
BTC-USD,1,20181020,011000,6380.9700000
BTC-USD,1,20181020,011100,6380.9800000
BTC-USD,1,20181020,011200,6380.9800000
BTC-USD,1,20181020,011300,6380.1700000
BTC-USD,1,20181020,011400,6380.8600000
BTC-USD,1,20181020,011500,6380.8600000
BTC-USD,1,20181020,011600,6380.8500000
BTC-USD,1,20181020,011700,6381.1800000
BTC-USD,1,20181020,011800,6381.1900000
BTC-USD,1,20181020,011900,6381.2100000
BTC-USD,1,20181020,012000,6381.2100000
BTC-USD,1,20181020,012100,6382.7500000
BTC-USD,1,20181020,012200,6382.7500000
BTC-USD,1,20181020,012300,6382.7600000
BTC-USD,1,20181020,012400,6382.7500000
BTC-USD,1,20181020,012500,6382.7500000
BTC-USD,1,20181020,012600,6382.7600000
BTC-USD,1,20181020,012700,6382.7500000
BTC-USD,1,20181020,012800,6382.7500000
BTC-USD,1,20181020,012900,6382.7600000
BTC-USD,1,20181020,013000,6382.7600000
BTC-USD,1,20181020,013100,6382.7500000
BTC-USD,1,20181020,013200,6382.7600000
BTC-USD,1,20181020,013300,6382.7600000
BTC-USD,1,20181020,013400,6382.7500000
BTC-USD,1,20181020,013500,6382.7500000
BTC-USD,1,20181020,013600,6382.7600000
BTC-USD,1,20181020,013700,6382.7600000
BTC-USD,1,20181020,013800,6383.2100000
BTC-USD,1,20181020,013900,6383.5000000
BTC-USD,1,20181020,014000,6384.9800000
BTC-USD,1,20181020,014100,6384.9900000
BTC-USD,1,20181020,014200,6384.9900000
BTC-USD,1,20181020,014300,6386.4100000
BTC-USD,1,20181020,014400,6386.4300000
BTC-USD,1,20181020,014500,6386.4400000
BTC-USD,1,20181020,014600,6386.4400000
BTC-USD,1,20181020,014700,6386.4400000
BTC-USD,1,20181020,014800,6386.4400000
BTC-USD,1,20181020,014900,6386.4300000
BTC-USD,1,20181020,015000,6386.4400000
BTC-USD,1,20181020,015100,6386.4300000
BTC-USD,1,20181020,015200,6386.4400000
BTC-USD,1,20181020,015300,6386.4400000
BTC-USD,1,20181020,015400,6386.4300000
BTC-USD,1,20181020,015500,6386.4300000
BTC-USD,1,20181020,015600,6386.4400000
BTC-USD,1,20181020,015700,6386.4400000
BTC-USD,1,20181020,015800,6386.4400000
BTC-USD,1,20181020,015900,6386.4300000
BTC-USD,1,20181020,020000,6386.4300000
BTC-USD,1,20181020,020100,6386.4300000
BTC-USD,1,20181020,020200,6386.4400000
BTC-USD,1,20181020,020300,6386.4400000
BTC-USD,1,20181020,020400,6386.4400000
BTC-USD,1,20181020,020500,6386.4400000
BTC-USD,1,20181020,020600,6386.4400000
BTC-USD,1,20181020,020700,6386.4400000
BTC-USD,1,20181020,020800,6386.4400000
BTC-USD,1,20181020,020900,6386.4300000
BTC-USD,1,20181020,021000,6386.4300000
BTC-USD,1,20181020,021100,6386.4300000
BTC-USD,1,20181020,021200,6386.4400000
BTC-USD,1,20181020,021300,6386.4400000
BTC-USD,1,20181020,021400,6386.4400000
BTC-USD,1,20181020,021500,6385.0200000
BTC-USD,1,20181020,021600,6384.9900000
BTC-USD,1,20181020,021700,6382.7600000
BTC-USD,1,20181020,021800,6385.0000000
BTC-USD,1,20181020,021900,6384.9900000
BTC-USD,1,20181020,022000,6383.0000000
BTC-USD,1,20181020,022100,6383.0000000
BTC-USD,1,20181020,022200,6383.0000000
BTC-USD,1,20181020,022300,6383.0000000
BTC-USD,1,20181020,022400,6383.0000000
BTC-USD,1,20181020,022500,6382.9900000
BTC-USD,1,20181020,022600,6383.0000000
BTC-USD,1,20181020,022700,6383.0000000
BTC-USD,1,20181020,022800,6382.3600000
BTC-USD,1,20181020,022900,6382.3700000
BTC-USD,1,20181020,023000,6383.0000000
BTC-USD,1,20181020,023100,6383.0000000
BTC-USD,1,20181020,023200,6382.9900000
BTC-USD,1,20181020,023300,6383.0000000
BTC-USD,1,20181020,023400,6383.0000000
BTC-USD,1,20181020,023500,6383.0000000
BTC-USD,1,20181020,023600,6383.0000000
BTC-USD,1,20181020,023700,6382.9900000
BTC-USD,1,20181020,023800,6382.9900000
BTC-USD,1,20181020,023900,6382.9900000
BTC-USD,1,20181020,024000,6382.9900000
BTC-USD,1,20181020,024100,6382.9900000
BTC-USD,1,20181020,024200,6382.9900000
BTC-USD,1,20181020,024300,6382.9900000
BTC-USD,1,20181020,024400,6382.9900000
BTC-USD,1,20181020,024500,6382.9900000
BTC-USD,1,20181020,024600,6382.9800000
BTC-USD,1,20181020,024700,6382.9900000
BTC-USD,1,20181020,024800,6382.9900000
BTC-USD,1,20181020,024900,6382.9900000
BTC-USD,1,20181020,025000,6382.9800000
BTC-USD,1,20181020,025100,6382.9900000
BTC-USD,1,20181020,025200,6382.9900000
BTC-USD,1,20181020,025300,6382.9900000
BTC-USD,1,20181020,025400,6382.9800000
BTC-USD,1,20181020,025500,6382.9900000
BTC-USD,1,20181020,025600,6382.9900000
BTC-USD,1,20181020,025700,6382.9900000
BTC-USD,1,20181020,025800,6382.9900000
BTC-USD,1,20181020,025900,6382.9900000
BTC-USD,1,20181020,030000,6382.9900000
BTC-USD,1,20181020,030100,6380.0100000
BTC-USD,1,20181020,030200,6380.0100000
BTC-USD,1,20181020,030300,6380.0100000
BTC-USD,1,20181020,030400,6377.7800000
BTC-USD,1,20181020,030500,6377.7800000
BTC-USD,1,20181020,030600,6377.7800000
BTC-USD,1,20181020,030700,6377.7800000
BTC-USD,1,20181020,030800,6377.7800000
BTC-USD,1,20181020,030900,6378.0100000
BTC-USD,1,20181020,031000,6378.0100000
BTC-USD,1,20181020,031100,6378.0100000
BTC-USD,1,20181020,031200,6378.0100000
BTC-USD,1,20181020,031300,6378.0100000
BTC-USD,1,20181020,031400,6378.0100000
BTC-USD,1,20181020,031500,6378.0100000
BTC-USD,1,20181020,031600,6378.0100000
BTC-USD,1,20181020,031700,6376.0600000
BTC-USD,1,20181020,031800,6376.0600000
BTC-USD,1,20181020,031900,6376.0600000
BTC-USD,1,20181020,032000,6376.0600000
BTC-USD,1,20181020,032100,6376.0100000
BTC-USD,1,20181020,032200,6376.0100000
BTC-USD,1,20181020,032300,6375.2600000
BTC-USD,1,20181020,032400,6375.0100000
BTC-USD,1,20181020,032500,6375.0100000
BTC-USD,1,20181020,032600,6370.0000000
BTC-USD,1,20181020,032700,6370.0100000
BTC-USD,1,20181020,032800,6369.8000000
BTC-USD,1,20181020,032900,6369.4300000
