<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20180920,000100,6421.3200000
BTC-USD,1,20180920,000200,6421.3400000
BTC-USD,1,20180920,000300,6421.3400000
BTC-USD,1,20180920,000400,6422.0000000
BTC-USD,1,20180920,000500,6426.2900000
BTC-USD,1,20180920,000600,6434.4600000
BTC-USD,1,20180920,000700,6436.0900000
BTC-USD,1,20180920,000800,6439.0100000
BTC-USD,1,20180920,000900,6441.2700000
BTC-USD,1,20180920,001000,6441.2700000
BTC-USD,1,20180920,001100,6441.2700000
BTC-USD,1,20180920,001200,6437.0900000
BTC-USD,1,20180920,001300,6434.4900000
BTC-USD,1,20180920,001400,6432.9100000
BTC-USD,1,20180920,001500,6425.0100000
BTC-USD,1,20180920,001600,6425.0100000
BTC-USD,1,20180920,001700,6421.3400000
BTC-USD,1,20180920,001800,6421.3300000
BTC-USD,1,20180920,001900,6421.3400000
BTC-USD,1,20180920,002000,6421.3400000
BTC-USD,1,20180920,002100,6421.3400000
BTC-USD,1,20180920,002200,6421.3200000
BTC-USD,1,20180920,002300,6421.3300000
BTC-USD,1,20180920,002400,6421.3300000
BTC-USD,1,20180920,002500,6420.0000000
BTC-USD,1,20180920,002600,6420.0100000
BTC-USD,1,20180920,002700,6421.3300000
BTC-USD,1,20180920,002800,6425.0100000
BTC-USD,1,20180920,002900,6425.0100000
BTC-USD,1,20180920,003000,6425.0100000
BTC-USD,1,20180920,003100,6425.0000000
BTC-USD,1,20180920,003200,6425.0100000
BTC-USD,1,20180920,003300,6425.0000000
BTC-USD,1,20180920,003400,6425.0000000
BTC-USD,1,20180920,003500,6425.0100000
BTC-USD,1,20180920,003600,6425.0100000
BTC-USD,1,20180920,003700,6425.0100000
BTC-USD,1,20180920,003800,6425.0000000
BTC-USD,1,20180920,003900,6421.3000000
BTC-USD,1,20180920,004000,6423.1200000
BTC-USD,1,20180920,004100,6421.8400000
BTC-USD,1,20180920,004200,6421.8400000
BTC-USD,1,20180920,004300,6421.8400000
BTC-USD,1,20180920,004400,6421.8400000
BTC-USD,1,20180920,004500,6421.8300000
BTC-USD,1,20180920,004600,6421.5000000
BTC-USD,1,20180920,004700,6418.0000000
BTC-USD,1,20180920,004800,6388.3600000
BTC-USD,1,20180920,004900,6382.1200000
BTC-USD,1,20180920,005000,6393.2600000
BTC-USD,1,20180920,005100,6399.9900000
BTC-USD,1,20180920,005200,6398.7000000
BTC-USD,1,20180920,005300,6393.0100000
BTC-USD,1,20180920,005400,6393.0000000
BTC-USD,1,20180920,005500,6385.9000000
BTC-USD,1,20180920,005600,6382.0300000
BTC-USD,1,20180920,005700,6382.0300000
BTC-USD,1,20180920,005800,6372.2100000
BTC-USD,1,20180920,005900,6376.9000000
BTC-USD,1,20180920,010000,6385.0000000
BTC-USD,1,20180920,010100,6391.2100000
BTC-USD,1,20180920,010200,6388.8700000
BTC-USD,1,20180920,010300,6390.0000000
BTC-USD,1,20180920,010400,6389.9900000
BTC-USD,1,20180920,010500,6382.0000000
BTC-USD,1,20180920,010600,6382.0000000
BTC-USD,1,20180920,010700,6387.0000000
BTC-USD,1,20180920,010800,6387.9500000
BTC-USD,1,20180920,010900,6389.0500000
BTC-USD,1,20180920,011000,6391.2000000
BTC-USD,1,20180920,011100,6389.7100000
BTC-USD,1,20180920,011200,6386.0000000
BTC-USD,1,20180920,011300,6386.0000000
BTC-USD,1,20180920,011400,6386.0000000
BTC-USD,1,20180920,011500,6387.6400000
BTC-USD,1,20180920,011600,6390.0000000
BTC-USD,1,20180920,011700,6391.8300000
BTC-USD,1,20180920,011800,6394.5000000
BTC-USD,1,20180920,011900,6392.3400000
BTC-USD,1,20180920,012000,6394.0700000
BTC-USD,1,20180920,012100,6392.3100000
BTC-USD,1,20180920,012200,6388.9600000
BTC-USD,1,20180920,012300,6385.9900000
BTC-USD,1,20180920,012400,6380.3700000
BTC-USD,1,20180920,012500,6375.0200000
BTC-USD,1,20180920,012600,6386.3600000
BTC-USD,1,20180920,012700,6387.9100000
BTC-USD,1,20180920,012800,6387.9100000
BTC-USD,1,20180920,012900,6387.9100000
BTC-USD,1,20180920,013000,6392.2000000
BTC-USD,1,20180920,013100,6392.2600000
BTC-USD,1,20180920,013200,6387.9000000
BTC-USD,1,20180920,013300,6387.9100000
BTC-USD,1,20180920,013400,6381.7800000
BTC-USD,1,20180920,013500,6381.7700000
BTC-USD,1,20180920,013600,6381.7800000
BTC-USD,1,20180920,013700,6391.2000000
BTC-USD,1,20180920,013800,6388.8700000
BTC-USD,1,20180920,013900,6389.5600000
BTC-USD,1,20180920,014000,6386.3500000
BTC-USD,1,20180920,014100,6381.3500000
BTC-USD,1,20180920,014200,6387.0500000
BTC-USD,1,20180920,014300,6385.0600000
BTC-USD,1,20180920,014400,6381.1100000
BTC-USD,1,20180920,014500,6379.4300000
BTC-USD,1,20180920,014600,6379.3100000
BTC-USD,1,20180920,014700,6375.0500000
BTC-USD,1,20180920,014800,6375.0600000
BTC-USD,1,20180920,014900,6375.0600000
BTC-USD,1,20180920,015000,6375.0500000
BTC-USD,1,20180920,015100,6375.2100000
BTC-USD,1,20180920,015200,6375.0500000
BTC-USD,1,20180920,015300,6369.2000000
BTC-USD,1,20180920,015400,6369.2000000
BTC-USD,1,20180920,015500,6373.4600000
BTC-USD,1,20180920,015600,6373.4600000
BTC-USD,1,20180920,015700,6379.0000000
BTC-USD,1,20180920,015800,6380.5700000
BTC-USD,1,20180920,015900,6380.5700000
BTC-USD,1,20180920,020000,6385.0000000
BTC-USD,1,20180920,020100,6385.3500000
BTC-USD,1,20180920,020200,6386.9900000
