<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,1,20180820,000100,6521.1900000
BTC-USD,1,20180820,000200,6521.7300000
BTC-USD,1,20180820,000300,6521.7300000
BTC-USD,1,20180820,000400,6521.7400000
BTC-USD,1,20180820,000500,6521.7400000
BTC-USD,1,20180820,000600,6521.7400000
BTC-USD,1,20180820,000700,6513.0100000
BTC-USD,1,20180820,000800,6517.6100000
BTC-USD,1,20180820,000900,6517.6200000
BTC-USD,1,20180820,001000,6517.6100000
BTC-USD,1,20180820,001100,6517.6200000
BTC-USD,1,20180820,001200,6507.2000000
BTC-USD,1,20180820,001300,6507.2000000
BTC-USD,1,20180820,001400,6507.2100000
BTC-USD,1,20180820,001500,6507.2100000
BTC-USD,1,20180820,001600,6514.5000000
BTC-USD,1,20180820,001700,6517.6000000
BTC-USD,1,20180820,001800,6525.5300000
BTC-USD,1,20180820,001900,6525.5400000
BTC-USD,1,20180820,002000,6525.5300000
BTC-USD,1,20180820,002100,6530.0000000
BTC-USD,1,20180820,002200,6529.9900000
BTC-USD,1,20180820,002300,6530.0000000
BTC-USD,1,20180820,002400,6529.9900000
BTC-USD,1,20180820,002500,6531.2100000
BTC-USD,1,20180820,002600,6546.0000000
BTC-USD,1,20180820,002700,6546.0000000
BTC-USD,1,20180820,002800,6547.1300000
BTC-USD,1,20180820,002900,6547.3300000
BTC-USD,1,20180820,003000,6546.3800000
BTC-USD,1,20180820,003100,6546.3700000
BTC-USD,1,20180820,003200,6517.9100000
BTC-USD,1,20180820,003300,6517.9100000
BTC-USD,1,20180820,003400,6517.9000000
BTC-USD,1,20180820,003500,6513.6400000
BTC-USD,1,20180820,003600,6513.6400000
BTC-USD,1,20180820,003700,6513.6400000
BTC-USD,1,20180820,003800,6513.6300000
BTC-USD,1,20180820,003900,6513.6300000
BTC-USD,1,20180820,004000,6513.6400000
BTC-USD,1,20180820,004100,6513.6300000
BTC-USD,1,20180820,004200,6513.6400000
BTC-USD,1,20180820,004300,6513.6400000
BTC-USD,1,20180820,004400,6513.6300000
BTC-USD,1,20180820,004500,6513.6300000
BTC-USD,1,20180820,004600,6513.9900000
BTC-USD,1,20180820,004700,6514.0000000
BTC-USD,1,20180820,004800,6513.9900000
BTC-USD,1,20180820,004900,6513.9900000
BTC-USD,1,20180820,005000,6513.9900000
BTC-USD,1,20180820,005100,6514.0000000
BTC-USD,1,20180820,005200,6514.0000000
BTC-USD,1,20180820,005300,6513.9900000
BTC-USD,1,20180820,005400,6513.9900000
BTC-USD,1,20180820,005500,6513.6400000
BTC-USD,1,20180820,005600,6513.6300000
