<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150213,190600,18025.6800000
D,1,20150213,190700,18024.5900000
D,1,20150213,190800,18025.9700000
D,1,20150213,190900,18030.4100000
D,1,20150213,191000,18026.7100000
D,1,20150213,191100,18026.5100000
D,1,20150213,191200,18025.8900000
D,1,20150213,191300,18023.9500000
D,1,20150213,191400,18022.8000000
D,1,20150213,191500,18023.6900000
D,1,20150213,191600,18021.3800000
D,1,20150213,191700,18024.3500000
D,1,20150213,191800,18024.4300000
D,1,20150213,191900,18021.5400000
D,1,20150213,192000,18025.3500000
D,1,20150213,192100,18021.5100000
D,1,20150213,192200,18018.7500000
D,1,20150213,192300,18013.8000000
D,1,20150213,192400,18013.9600000
D,1,20150213,192500,18012.4900000
D,1,20150213,192600,18012.9400000
D,1,20150213,192700,18014.2800000
D,1,20150213,192800,18016.1400000
D,1,20150213,192900,18018.4200000
D,1,20150213,193000,18020.3500000
D,1,20150213,193100,18023.8200000
D,1,20150213,193200,18018.7800000
D,1,20150213,193300,18016.0100000
D,1,20150213,193400,18015.1300000
D,1,20150213,193500,18014.5200000
D,1,20150213,193600,18007.8100000
D,1,20150213,193700,18003.8400000
D,1,20150213,193800,18006.7000000
D,1,20150213,193900,18006.2500000
D,1,20150213,194000,18008.0300000
D,1,20150213,194100,18011.2300000
D,1,20150213,194200,18009.8500000
D,1,20150213,194300,18012.2900000
D,1,20150213,194400,18015.5500000
D,1,20150213,194500,18017.4500000
D,1,20150213,194600,18014.4600000
D,1,20150213,194700,18014.9700000
D,1,20150213,194800,18013.0200000
D,1,20150213,194900,18016.1400000
D,1,20150213,195000,18018.6100000
D,1,20150213,195100,18017.0100000
D,1,20150213,195200,18016.7900000
D,1,20150213,195300,18015.3600000
D,1,20150213,195400,18013.4200000
D,1,20150213,195500,18013.8800000
D,1,20150213,195600,18012.3500000
D,1,20150213,195700,18007.2500000
D,1,20150213,195800,18010.5000000
D,1,20150213,195900,18018.9000000
D,1,20150213,200000,18017.1700000
D,1,20150213,200100,18016.8200000
D,1,20150213,200200,18018.2600000
D,1,20150213,200300,18017.3100000
D,1,20150213,200400,18017.4300000
D,1,20150213,200500,18019.1300000
D,1,20150213,200600,18016.8300000
D,1,20150213,200700,18014.9700000
D,1,20150213,200800,18013.0000000
D,1,20150213,200900,18011.5800000
D,1,20150213,201000,18014.7000000
D,1,20150213,201100,18015.1800000
D,1,20150213,201200,18014.2700000
D,1,20150213,201300,18015.7900000
D,1,20150213,201400,18014.8600000
D,1,20150213,201500,18011.8100000
D,1,20150213,201600,18010.1100000
D,1,20150213,201700,18007.7000000
D,1,20150213,201800,18007.3100000
D,1,20150213,201900,18009.1600000
D,1,20150213,202000,18007.4100000
D,1,20150213,202100,18004.7400000
D,1,20150213,202200,18002.4300000
D,1,20150213,202300,18002.3700000
D,1,20150213,202400,18005.9900000
D,1,20150213,202500,18008.1800000
D,1,20150213,202600,18005.1000000
D,1,20150213,202700,18004.8100000
D,1,20150213,202800,18002.7600000
D,1,20150213,202900,18000.8500000
D,1,20150213,203000,18001.3400000
D,1,20150213,203100,17998.4200000
D,1,20150213,203200,17998.0700000
D,1,20150213,203300,18004.0400000
D,1,20150213,203400,18006.3200000
D,1,20150213,203500,18005.9700000
D,1,20150213,203600,18005.7700000
D,1,20150213,203700,18006.9000000
D,1,20150213,203800,18007.6000000
